Brand,Type,Family,Model,Category,Name,PartNo,Quality,Price,Description,description_alternative,FitsTo,Alternative,ImageLinks,OriginalLink
"
                                        ,
                                        PanzerGlass
                                    ",Smartphone,Galaxy S,SM-G950F Galaxy S8,"
                                        ,
                                        Screen Protector
                                    ",PanzerGlass Samsung S8 Black Case Friendly,"
                                        ,
                                        PG7122
                                    ","
                                        ,
                                        Original
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G950F Galaxy S8,,/storage/CD2801850373692F0D74DB18DA8B3A6E7182A8E5F9EECE5222EB2B406E351477/2151520bee444b5b8b34f7fb4a75cba5/348-600-0-jpg.Jpeg/media/de92be5b46a74bb29b4a39c68d8228aa/PG7122.jpeg,https://www.zandparts.com/en/panzerglass-pg7122
"
                                        ,
                                        PanzerGlass
                                    ",Smartphone,Galaxy S,SM-G960F Galaxy S9,"
                                        ,
                                        Screen Protector
                                    ","PanzerGlass Samsung S9 Black, Case Friendly","
                                        ,
                                        PG7142
                                    ","
                                        ,
                                        Original
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G960F Galaxy S9,,,https://www.zandparts.com/en/panzerglass-pg7142
"
                                        ,
                                        Samsung
                                    ",Smartphone,Galaxy A,SM-A750F Galaxy A7 (2018),"
                                        ,
                                        Display
                                    ",SM-A750F Galaxy A7 (2018) Display Module OLED (Black),"
                                        ,
                                        GH96-12078A
                                    ","
                                        ,
                                        Original
                                    ","
53.90 EUR        ","
                                ASSY OLED-6.0"" FHD+ A750F BLACK WO LO AG
                            ",,Samsung  Smartphone  Galaxy A  SM-A750F Galaxy A7 (2018),,/storage/B6196F78328367CB4D3A874D83E5BEA2D724BB38A1F3D6D3A8AF169A4C41CF45/be4da23db0d84288aa082dda96edc023/500-597-0-jpg.Jpeg/media/bab23d680da14d45ad64ec2abe760c36/GH96-12078A.jpeg,https://www.zandparts.com/en/samsung-gh96-12078a
"
                                        ,
                                        Samsung
                                    ",Smartphone,Galaxy A,SM-A750F Galaxy A7 (2018),"
                                        ,
                                        Cover
                                    ",Samsung  SM-A750F Galaxy A7 (2018) BATTERY COVER (BLUE),"
                                        ,
                                        GH82-17829D
                                    ","
                                        ,
                                        Original
                                    ","
28.09 EUR        ","
                                SVC COVER ASSY-B/G
                            ",,Samsung  Smartphone  Galaxy A  SM-A750F Galaxy A7 (2018),,/storage/5174ADDCBA403208FA0507C198E38A3680416A5CF4151A8946D482E49926ED25/649ccd3756914f39a1584a71bf35540b/500-422-0-jpg.Jpeg/media/7f5b14be02404949ae93a03e502fc31a/GH82-17829D.jpeg,https://www.zandparts.com/en/samsung-gh82-17829d
"
                                        ,
                                        PanzerGlass
                                    ",Smartphone,Galaxy S,SM-G955F Galaxy S8 Plus,"
                                        ,
                                        Screen Protector
                                    ",PanzerGlass Samsung S8 Plus Black CaseFriendly,"
                                        ,
                                        PG7123
                                    ","
                                        ,
                                        Original
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,"Samsung  Smartphone  Galaxy S  SM-G955F Galaxy S8 Plus,Samsung  Smartphone  Galaxy S  SM-G955FD Galaxy S8 Plus Dual Sim",,/storage/4233B8B4018089A5923333A8013E5CC29A81F9824BCCCFCB31489D540BEFDE12/7bee8b830ffd40adaa01a28b3bf580d9/369-600-0-jpg.Jpeg/media/183a54be582d48c3b8a009557cc26243/PG7123.jpeg,https://www.zandparts.com/en/panzerglass-pg7123
"
                                        ,
                                        Samsung
                                    ",Smartphone,Galaxy S,SM-G780F Galaxy S20 FE 4G,"
                                        ,
                                        Uncategorized
                                    ",Samsung  SM-G780F/SM-G781B Galaxy S20 FE 4G/5G  Deco Cam ,"
                                        ,
                                        GH98-46057A
                                    ","
                                        ,
                                        Original
                                    ","
11.36 EUR        ","
                                ASSY DECO-CAM_ZB Cloud Navy
                            ",,"Samsung  Smartphone  Galaxy S  SM-G780F Galaxy S20 FE 4G,Samsung  Smartphone  Galaxy S  SM-G781B Galaxy S20 FE 5G",,/storage/F1A94665E3718BAE856E51FAAF4BA47D407AE59FE9E0A567FF3EC625CC2A72EB/acbc661f7a464adea42abb8e6dd23545/500-570-0-png.Png/media/34f6ff12e8e14cd0b9ff7668587eb773/GH98-46057A.png,https://www.zandparts.com/en/samsung-gh98-46057a
"
                                        ,
                                        Samsung
                                    ",Smartphone,Galaxy S,SM-G991 Galaxy S21 5G,"
                                        ,
                                        Uncategorized
                                    ",Samsung A/S REWORK KIT-SVC,"
                                        ,
                                        GH82-24549A
                                    ","
                                        ,
                                        Original
                                    ","
11.14 EUR        ","
                                A/S REWORK KIT-SVC
                            ",,Samsung  Smartphone  Galaxy S  SM-G991 Galaxy S21 5G,,/storage/B9A96D9D23948C467BC97D0DC876523A276E0D794971E51824F48D2B62F4D93B/9340b960d497476e8eb0529f23e98ecb/500-166-0-png.Png/media/c935bd2228e74de8ab22c0137aedb6b4/2000px-Samsung_Logo.svg.png,https://www.zandparts.com/en/samsung-gh82-24549a
"
                                        ,
                                        PanzerGlass
                                    ",Smartphone,Galaxy S,SM-G965F Galaxy S9 Plus,"
                                        ,
                                        Screen Protector
                                    ","PanzerGlass Samsung S9 Plus Black, CaseFriendly","
                                        ,
                                        PG7143
                                    ","
                                        ,
                                        Original
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G965F Galaxy S9 Plus,,,https://www.zandparts.com/en/panzerglass-pg7143
"
                                        ,
                                        Samsung
                                    ",Smartphone,Galaxy S,SM-G996 Galaxy S21 Plus 5G,"
                                        ,
                                        Uncategorized
                                    ",Samsung A/S REWORK KIT-SVC,"
                                        ,
                                        GH82-24565A
                                    ","
                                        ,
                                        Original
                                    ","
12.41 EUR        ","
                                A/S REWORK KIT-SVC
                            ",,Samsung  Smartphone  Galaxy S  SM-G996 Galaxy S21 Plus 5G,,/storage/B9A96D9D23948C467BC97D0DC876523A276E0D794971E51824F48D2B62F4D93B/9340b960d497476e8eb0529f23e98ecb/500-166-0-png.Png/media/c935bd2228e74de8ab22c0137aedb6b4/2000px-Samsung_Logo.svg.png,https://www.zandparts.com/en/samsung-gh82-24565a
